Unnamed: 0,_STATE,NAME,population,total_pop,total_asthma_burden,PR,at_risk,num,IR,year
0,0,United States,74119633,,,0.0905798542386211,,,0.0105080202221768,2010
1,1,Alabama,1130411,1091026.542630968,124420.49106441636,0.1140398388149028,966606.0515665518,,,2010
2,2,Alaska,187994,,,,,,,2010
3,4,Arizona,1626328,1757237.105085894,164766.94110401854,0.0937647746152985,1592470.1639818754,,,2010
4,5,Arkansas,711624,,,,,,,2010
5,6,California,9280416,,,,,178240.9624989893,,2010
6,8,Colorado,1227212,,,,,,,2010
7,9,Connecticut,814364,795095.622428999,89279.61212027947,0.1122878929298243,705816.0103087196,6089.612461906944,0.0086277618713174,2010
8,10,Delaware,205519,,,,,,,2010
9,11,District of Columbia,101265,109280.23928195762,19017.3773580332,0.1740239359191539,90262.8619239244,,,2010
10,12,Florida,3997507,,,,,,,2010
11,13,Georgia,2489432,2528288.024460242,227224.31848330752,0.0898727978319705,2301063.705976934,25618.423009051043,0.0111332958503096,2010
12,15,Hawaii,303872,284001.71023588406,31315.57599107691,0.1102654486308094,252686.13424480715,4738.572445940158,0.0187527996346223,2010
13,16,Idaho,429231,,,,,,,2010
14,17,Illinois,3123173,3172363.9367779056,309253.02029710874,0.0974834623202814,2863110.916480797,25762.110395874977,0.008997943547203,2010
15,18,Indiana,1606162,1549178.3221617,137621.30911260808,0.0888350341234916,1411557.013049092,17194.34110389379,0.0121811169828361,2010
16,19,Iowa,728224,708666.1233271676,44120.68356576772,0.062258773367947,664545.4397613999,,,2010
17,20,Kansas,727487,700292.9043907681,52720.24647044091,0.0752831367273466,647572.6579203273,4647.486209765927,0.0071767795519521,2010
18,21,Kentucky,1023469,1001861.8612050432,106358.91688111812,0.1061612593508542,895502.9443239252,,,2010
19,22,Louisiana,1117829,1096006.8701144198,90841.25562599675,0.0828838377778719,1005165.6144884232,5378.786540781787,0.0053511445907541,2010
20,23,Maine,273399,,,,,2984.929290269952,,2010
21,24,Maryland,1352626,1315421.709386291,155551.25654599394,0.1182520065132316,1159870.452840297,9989.514411068963,0.0086126121987214,2010
22,25,Massachusetts,1417502,,,,,15669.18908462419,,2010
23,26,Michigan,2334175,2291454.80698025,255966.56461573477,0.1117048277958644,2035488.242364515,32539.83484505312,0.0159862553699909,2010
24,27,Minnesota,1283281,,,,,,,2010
25,28,Mississippi,753557,752290.0121960547,65413.85557357016,0.0869529762632587,686876.1566224846,11396.691127554908,0.0165920610544917,2010
26,29,Missouri,1423920,1401328.905766738,152888.06143388254,0.1091021963542739,1248440.8443328554,,,2010
27,30,Montana,223389,216038.68309429477,14881.228932147797,0.0688822423790306,201157.45416214693,1202.7923735968589,0.0059793577056673,2010
28,31,Nebraska,459739,448784.34859002585,27308.186107535967,0.060849239046174,421476.1624824899,3720.9305831745473,0.0088283298425664,2010
29,32,Nevada,663320,668009.3431771961,57224.65810410125,0.0856644576734937,610784.6850730949,,,2010
30,33,New Hampshire,285920,,,,,,,2010
31,34,New Jersey,2061661,2002840.629589522,180502.24123142892,0.0901231174186947,1822338.388358093,17283.629842999406,0.0094843141940129,2010
32,35,New Mexico,518510,499787.81849973387,39874.132947427504,0.0797821224757376,459913.6855523064,5577.42561235573,0.0121271138206245,2010
33,36,New York,4319802,,,,,40404.35503605744,,2010
34,37,North Carolina,2281395,,,,,,,2010
35,38,North Dakota,150410,142173.32071019223,9098.866947127248,0.0639984133568525,133074.453763065,,,2010
36,39,Ohio,2723148,,,,,28042.50103840977,,2010
