state_code,year,population,PR,at_risk,incidence_cases,AC,AC_5,AC_95,IR,SAF,SAF_5,SAF_95
1,2010,1130433,0.090579854,1028038.544,10802.64981,1081.075279,454.363013,1465.934666,0.01050802,0.100075009,0.04206033,0.135701397
1,2011,1123827,0.088835075,1023991.744,9265.882219,938.9426054,394.4687444,1273.507498,0.009048786,0.10133332,0.042572173,0.137440501
1,2012,1116702,0.089808426,1016412.751,9627.688922,880.8938321,368.7911931,1197.431305,0.009472224,0.091495876,0.038305267,0.124373701
1,2013,1109908,0.092411519,1007339.716,8431.079702,890.4445964,376.5900719,1202.914252,0.008369649,0.105614539,0.044666886,0.142676181
1,2014,1105744,0.091740981,1004301.96,9789.082596,1005.621463,428.5162528,1352.568421,0.009747151,0.102728877,0.043774914,0.138171111
1,2015,1102585,0.084101551,1009855.892,8251.088782,843.0267273,357.6732386,1136.775902,0.008170561,0.102171574,0.043348611,0.137772836
1,2016,1099450,0.080348491,1011110.852,9050.701056,316.4430513,139.6473188,416.1115776,0.008951245,0.034963375,0.015429448,0.045975618
1,2017,1096017,0.077127832,1011483.585,8096.33177,242.5338859,105.6560102,321.4931219,0.008004412,0.029956021,0.013049862,0.039708492
1,2018,1091854,0.073469578,1011635.948,8210.331262,235.4943448,102.2549184,312.7985328,0.008115895,0.028682685,0.012454421,0.038098162
1,2019,1088306,0.073197456,1008644.769,6243.518573,194.9831087,85.22639203,257.9229884,0.006190007,0.031229683,0.013650379,0.041310518
2,2014,186818,0.091740981,169679.1334,1653.88809,46.20612156,20.12234385,61.26151937,0.009747151,0.027937877,0.01216669,0.03704091
2,2015,186144,0.084101551,170489.001,1392.990718,28.73230318,12.26354201,38.57808313,0.008170561,0.020626342,0.00880375,0.027694429
2,2016,186851,0.080348491,171837.8041,1538.162302,42.5837353,18.5113534,56.52252212,0.008951245,0.027684813,0.012034721,0.036746787
2,2017,185410,0.077127832,171109.7287,1369.632837,26.98071939,11.49002822,36.27788927,0.008004412,0.019699235,0.00838913,0.02648731
2,2018,182696,0.073469578,169273.402,1373.805179,28.8947992,12.3457974,38.77065669,0.008115895,0.021032676,0.008986571,0.028221364
2,2019,179983,0.073197456,166808.7022,1032.547099,14.94404146,6.28267677,20.25854151,0.006190007,0.014472988,0.006084639,0.019619968
4,2010,1626330,0.093764775,1473837.534,15487.11461,5046.523841,2345.855419,6437.028274,0.01050802,0.32585307,0.151471431,0.415637673
4,2011,1615952,0.084094079,1480060.005,13392.74634,4655.77835,2187.870092,5901.687428,0.009048786,0.347634326,0.163362318,0.440662974
4,2012,1616731,0.084857255,1479539.646,14014.53046,4802.500465,2257.079125,6086.617548,0.009472224,0.342680083,0.161052782,0.434307633
4,2013,1618036,0.108086692,1443147.842,12078.64068,3846.194832,1784.557097,4911.172382,0.008369649,0.318429444,0.147744862,0.406599758
4,2014,1623723,0.084857255,1485938.324,14483.66483,4789.559525,2246.431408,6077.642841,0.009747151,0.33068699,0.155101035,0.419620511
4,2015,1628633,0.084857255,1490431.675,12177.66235,4635.664807,2258.74696,5758.08296,0.008170561,0.380669514,0.185482804,0.472839761
4,2016,1635218,0.080178713,1504108.325,13463.64227,4655.911874,2275.615975,5766.714402,0.008951245,0.345813694,0.169019343,0.42831756
4,2017,1637162,0.084857255,1498236.927,11992.50627,4136.351099,2018.300229,5127.969751,0.008004412,0.344911314,0.168296783,0.427597838
4,2018,1637600,0.084857255,1498637.76,12162.7869,3985.993011,1920.906861,4976.312272,0.008115895,0.327720369,0.157933118,0.409142437
4,2019,1640236,0.084857255,1501050.076,9291.511058,2797.339656,1324.550525,3527.700766,0.006190007,0.301064018,0.14255491,0.379669221
5,2010,711624,0.090579854,647165.2018,6800.425028,752.0393487,317.0969831,1017.684582,0.01050802,0.11058711,0.046628995,0.149650144
5,2011,711633,0.088835075,648415.0292,5867.368875,694.3544003,293.5921424,937.9700947,0.009048786,0.118341699,0.050038126,0.159862131
5,2012,711139,0.089808426,647272.7257,6131.112036,664.6152127,280.6006423,898.7007324,0.009472224,0.108400435,0.04576668,0.14658038
5,2013,708960,0.092411519,643443.9296,5385.39975,583.5474219,246.000274,789.8018124,0.008369649,0.108357308,0.045679111,0.146656116
5,2014,707060,0.091740981,642193.6217,6259.558035,586.2983092,246.0908694,795.7143967,0.009747151,0.09366449,0.039314416,0.127119901
5,2015,706417,0.084101551,647006.2349,5286.403664,481.0008042,201.545979,653.5138763,0.008170561,0.090988285,0.038125348,0.123621637
5,2016,705926,0.080348491,649205.9113,5811.201231,128.1118827,54.45681815,172.4597577,0.008951245,0.02204568,0.009371009,0.029677127
5,2017,705370,0.077127832,650966.3412,5210.603066,107.0990347,45.39668746,144.4308259,0.008004412,0.020554057,0.008712367,0.027718639
5,2018,702704,0.073469578,651076.6338,5284.069682,104.9704844,44.43523784,141.6799597,0.008115895,0.019865462,0.008409283,0.026812659
5,2019,700155,0.073197456,648905.435,4016.729437,89.13355231,37.93692013,119.8908819,0.006190007,0.022190579,0.009444729,0.029847886
6,2010,9280492,0.074957399,8584850.458,178242.4222,55767.4731,25642.75527,71595.57806,0.020762438,0.3128743,0.143864491,0.401675298
6,2011,9244611,0.074957399,8551659.004,108106.1907,32645.90943,14899.56628,42092.64946,0.012641546,0.301980018,0.137823432,0.389363913
6,2012,9193534,0.087447954,8389578.26,108106.7268,33383.56623,15308.14618,42924.67766,0.012885836,0.308801933,0.141602161,0.397058341
6,2013,9157430,0.088533807,8346687.856,37969.40988,10798.55426,4888.549014,13990.11243,0.004549039,0.284401425,0.128749671,0.368457463
