State,FCEV Sales,FCEV Market Share,BEV Sales,BEV Market Share,PHEV Sales,PHEV Market Share,year,State Name,state_code,EPA_Region,ev_sales,ev_market_share,total,nonev_sales,population,PR,at_risk,incidence_cases,AC,AC_5,AC_95,IR,SAF,SAF_5,SAF_95,nonev_market_share,year_fixed
Alabama,0,0.0,77,0.0004,99,0.0005,2013,Alabama,1,4.0,176,0.0008888888888888889,198000.0,197824.0,1109908.0,0.0924115188032248,1007339.7159881504,8431.079702131416,890.4445963556273,376.5900718527972,1202.914251789681,0.0083696488566034,0.1056145390406544,0.0446668855185408,0.1426761807844823,0.9991111111111111,3
Arizona,0,0.0,705,0.0023,544,0.0017,2013,Arizona,4,9.0,1249,0.003903125,320000.0,318751.0,1618036.0,0.1080866916952123,1443147.8417162453,12078.640683330035,3846.194832137552,1784.5570968526383,4911.1723816904205,0.0083696488566034,0.3184294435917577,0.1477448616644039,0.4065997582383938,0.996096875,3
Arkansas,0,0.0,24,0.0002,74,0.0006,2013,Arkansas,5,6.0,98,0.0007945902995118945,123334.0,123236.0,708960.0,0.0924115188032248,643443.9296292657,5385.399749909982,583.547421914002,246.0002739978397,789.801812444667,0.0083696488566034,0.1083573084660532,0.0456791111935472,0.1466561163742522,0.9992054097004881,3
Colorado,0,0.0,799,0.0035,635,0.0028,2013,Colorado,8,8.0,1434,0.006281594140683178,228286.0,226852.0,1240404.0,0.0924115188032248,1125776.382430405,9422.353011999749,2018.3409151585736,894.7489290175229,2649.856562867909,0.0083696488566034,0.2142077369196563,0.0949602427204779,0.2812308729563846,0.9937184058593168,3
Connecticut,0,0.0,400,0.0025,718,0.0044,2013,Connecticut,9,1.0,1118,0.006851245848194041,163182.0,162064.0,782470.0,0.0978965079095042,705868.9194560503,2584.233496471536,544.0238623297126,238.3593166474702,718.8009826773788,0.0036610671262632,0.2105165276560777,0.0922359829221784,0.2781486207259585,0.9931487541518059,3
Delaware,0,0.0,34,0.0007,75,0.0016,2013,Delaware,10,3.0,109,0.002244091245985341,48572.0,48463.0,203354.0,0.0924115188032248,184561.748005289,1544.717023165192,266.6607039646872,115.27556485959876,355.25620977838776,0.0083696488566034,0.1726275427574999,0.07462568427154,0.2299814169526354,0.9977559087540147,3
District Of Columbia,0,0.0,102,0.0047,133,0.0062,2013,District Of Columbia,11,3.0,235,0.01082799612956734,21703.0,21468.0,111942.0,0.1350638695397454,96822.68031598182,810.3718355999338,183.37065933286283,80.13529565637381,242.59095674734343,0.0083696488566034,0.2262796549402658,0.0988870690416432,0.2993575863452222,0.9891720038704327,3
Florida,0,0.0,1817,0.0017,1487,0.0014,2013,Florida,12,4.0,3304,0.003091247951019064,1068824.0,1065520.0,4021965.0,0.0736654936748349,3725684.962732093,36069.16867507685,3368.690682727157,1411.9620999416131,4575.86976247552,0.0096812180943573,0.0933952959402378,0.03914595627809,0.1268637434839845,0.9969087520489809,3
Georgia,0,0.0,4054,0.01,455,0.0011,2013,Georgia,13,4.0,4509,0.01090086235032166,413637.0,409128.0,2483113.0,0.1070802957236576,2217220.525644741,11896.113743820128,1408.9269532292226,595.9557011864986,1902.7802712338105,0.0053653272672824,0.1184359013010565,0.0500966714021282,0.1599497375537687,0.9890991376496784,3
Hawaii,0,0.0,792,0.0121,199,0.003,2013,Hawaii,15,9.0,991,0.014939548346247776,66334.0,65343.0,308747.0,0.1276956359950461,269321.3554734375,2522.361331928256,109.94647854269766,45.44766964373224,150.6717033179386,0.0093656194752704,0.043588710765181,0.0180179061058587,0.0597343851615246,0.9850604516537522,3
Idaho,0,0.0,48,0.0011,53,0.0012,2013,Idaho,16,10.0,101,0.002286775194149478,44167.0,44066.0,428752.0,0.0924115188032248,389130.3764900797,3256.884610659846,468.3706383947602,200.1126642445755,628.597255550066,0.0083696488566034,0.1438094051173241,0.0614429702512649,0.1930056881636687,0.9977132248058506,3
Illinois,0,0.0,1482,0.0026,1052,0.0018,2013,Illinois,17,5.0,2534,0.004335737323443609,584445.0,581911.0,3024759.0,0.0735954085393756,2802150.6256618467,23453.016780101178,5883.00652904577,2646.947565213363,7652.705148743171,0.0083696488566034,0.2508422086678945,0.1128617094351451,0.3262993933998352,0.9956642626765564,3
Indiana,0,0.0,204,0.0009,344,0.0016,2013,Indiana,18,5.0,548,0.002417643503465436,226667.0,226119.0,1586023.0,0.0796443649363048,1459705.205390627,18365.89867167324,2833.0329010478617,1213.5467618395417,3795.988174891405,0.0125819231197153,0.1542550654173763,0.0660760893618161,0.2066867645712415,0.9975823564965346,3
Iowa,0,0.0,81,0.0007,238,0.0019,2013,Iowa,19,7.0,319,0.0025466215353174095,125264.0,124945.0,726370.0,0.0924115188032248,659245.0450869015,5517.649537833043,688.1518508585191,291.4179848798228,928.6723279453764,0.0083696488566034,0.1247182964666469,0.0528156025281504,0.1683094081234626,0.9974533784646826,3
Kansas,0,0.0,95,0.0009,131,0.0013,2013,Kansas,20,7.0,226,0.002141043616658456,105556.0,105330.0,724239.0,0.0926088970942034,657168.0249773912,4468.419170927732,604.547247513138,256.88255062298447,814.0934596099032,0.0067995078900581,0.1352933161343549,0.0574884630999491,0.1821882478945862,0.9978589563833415,3
Kentucky,0,0.0,51,0.0004,132,0.001,2013,Kentucky,21,4.0,183,0.0013863636363636363,132000.0,131817.0,1017072.0,0.1019727676087638,913358.3533026192,7644.488697388432,974.2539061020266,417.1207901739918,1306.2840090258803,0.0083696488566034,0.1274452673904611,0.0545649037739426,0.1708791863963567,0.9986136363636363,3
Louisiana,0,0.0,73,0.0004,67,0.0003,2013,Louisiana,22,6.0,140,0.000626863800406566,223334.0,223194.0,1112430.0,0.078099283131033,1025550.014466545,8583.493505969518,1134.1912240350212,482.6274441954096,1526.0588883842695,0.0083696488566034,0.132136317601479,0.0562273908473,0.1777899508309698,0.9993731361995934,3
Maine,0,0.0,48,0.0009,197,0.0037,2013,Maine,23,1.0,245,0.004593692578842764,53334.0,53089.0,262010.0,0.0767175178911223,241909.24313734705,1459.561574869311,122.8147437848814,51.43438531109932,166.9228819217479,0.0060335089140873,0.0841449555123278,0.0352396131802145,0.1143650838688968,0.9954063074211572,3
Maryland,0,0.0,573,0.0019,962,0.0032,2013,Maryland,24,3.0,1535,0.005089876947665454,301579.0,300044.0,1344085.0,0.1073467172133628,1199801.8875942773,25705.136252826684,3967.2523656760254,1700.6929920903274,5313.387311480768,0.0214244839240652,0.1543369514425259,0.0661616019212234,0.2067052770784857,0.9949101230523345,3
Massachusetts,0,0.0,592,0.0019,1233,0.0039,2013,Massachusetts,25,1.0,1825,0.0057725032737210346,316154.0,314329.0,1398069.0,0.0924115188032248,1268871.3203182942,10620.00739527886,1981.2887174395016,860.0851950056183,2633.104059767833,0.0083696488566034,0.1865618962111351,0.0809872501019133,0.2479380627303878,0.994227496726279,3
Michigan,0,0.0,368,0.0008,2244,0.0046,2013,Michigan,26,5.0,2612,0.005354357179901892,487827.0,485215.0,2249312.0,0.1092295344695415,2003620.6973632467,20401.57628097193,3512.517621243106,1533.457512996494,4654.091967136779,0.0101823545283896,0.1721689330700956,0.075163678133376,0.2281241362451753,0.9946456428200982,3
Minnesota,0,0.0,274,0.0012,551,0.0024,2013,Minnesota,27,5.0,825,0.0035934559899644574,229584.0,228759.0,1278697.0,0.0527314975420946,1211269.3922874162,6982.309962949738,1062.2595502690806,457.4805918466641,1418.8335639833151,0.0057644566992351,0.1521358341158947,0.0655199488814153,0.2032040358437362,0.9964065440100356,3
Mississippi,0,0.0,11,0.0001,40,0.0004,2013,Mississippi,28,4.0,51,0.00046363636363636366,110000.0,109949.0,735536.0,0.1168276345104781,649605.069022701,5351.484853017004,472.5838809976983,197.39937195225264,643.3202046469038,0.0082380589502912,0.0883089262097546,0.03688684119903,0.1202134028809255,0.9995363636363637,3
Missouri,0,0.0,291,0.0012,325,0.0013,2013,Missouri,29,7.0,616,0.002464,250000.0,249384.0,1397707.0,0.0766062050170915,1290633.9710041762,10802.153139708607,1564.8002330639915,672.2332686018957,2093.338549827207,0.0083696488566034,0.1448600304796459,0.0622314144141109,0.1937890087978956,0.997536,3
Montana,0,0.0,30,0.0006,66,0.0014,2013,Montana,30,8.0,96,0.0019199616007679846,50001.0,49905.0,224371.0,0.0819933716161874,205974.0652171044,4661.732712767047,468.4365871176692,196.6637407288606,635.6261919978554,0.0226326198293625,0.1004855095691707,0.0421868332755885,0.1363497718899823,0.998080038399232,3
Nebraska,0,0.0,57,0.0007,107,0.0014,2013,Nebraska,31,7.0,164,0.002014024487590416,81429.0,81265.0,464550.0,0.0655503605520373,434098.5800055511,3735.998837748729,509.4153607706784,216.3549627155596,686.1666756673491,0.008606337384704,0.1363531903766989,0.0579108752737012,0.1836635142212264,0.9979859755124095,3
Nevada,0,0.0,235,0.002,199,0.0017,2013,Nevada,32,9.0,434,0.0036936170212765957,117500.0,117066.0,656208.0,0.0785160404324406,604685.146139909,5061.002341994948,1219.4901897112995,537.9447919513586,1604.1417213088655,0.0083696488566034,0.2409582346153588,0.1062921444409589,0.3169612683238839,0.9963063829787234,3
New Hampshire,0,0.0,101,0.0013,187,0.0024,2013,New Hampshire,33,1.0,288,0.0036962408716968054,77917.0,77629.0,271784.0,0.1049514765030057,243259.8679101071,2035.9996753113217,215.97772873329643,90.76137387951364,292.877094967126,0.0083696488566034,0.1060794514617354,0.0445782850459617,0.143849283729548,0.9963037591283032,3
New Jersey,0,0.0,889,0.0017,1435,0.0028,2013,New Jersey,34,2.0,2324,0.0044440874896260005,522942.0,520618.0,2011356.0,0.0863402623983538,1837694.9951834967,25880.40129351542,5653.9365395812765,2493.717397557789,7442.1091060244,0.0140830776387521,0.2184640213054935,0.0963554378186018,0.2875577168074705,0.995555912510374,3
New Mexico,0,0.0,74,0.0009,93,0.0012,2013,New Mexico,35,6.0,167,0.0020310618683336778,82223.0,82056.0,509220.0,0.082017155520628,467455.2240657859,5355.350970933414,798.5919969546102,341.9705342878253,1070.26070465184,0.0114563934580817,0.149120384693558,0.0638558585877745,0.1998488447275936,0.9979689381316663,3
New York,0,0.0,1107,0.0012,2840,0.0032,2013,New York,36,2.0,3947,0.004278586147874094,922501.0,918554.0,4236806.0,0.0924115188032248,3845276.322665384,23691.26099754,5606.825338608132,2510.090823960265,7314.123226518379,0.006161133559608,0.236662174258699,0.1059500726542543,0.3087266324607139,0.9957214138521259,3
North Carolina,0,0.0,656,0.0017,481,0.0013,2013,North Carolina,37,4.0,1137,0.0029464889616800946,385883.0,384746.0,2280631.0,0.0924115188032248,2069874.4254602825,17324.12211836627,1749.6696081777125,734.4486613486919,2374.374151860401,0.0083696488566034,0.1009961483891175,0.0423945673166354,0.1370559579087239,0.9970535110383199,3
North Dakota,0,0.0,6,0.0003,15,0.0004,2013,North Dakota,38,8.0,21,0.00056,37500.0,37479.0,163430.0,0.0924115188032248,148327.18548198897,1241.4464583725294,135.92300666409776,57.20708123640967,184.1393800913965,0.0083696488566034,0.1094876108006185,0.0460809895187949,0.1483264774324569,0.99944,3
Ohio,0,0.0,338,0.0006,708,0.0013,2013,Ohio,39,5.0,1046,0.0018568025363283594,563334.0,562288.0,2653839.0,0.0774572896136572,2448279.823988981,20471.42309411189,3156.137384902559,1351.5332073436575,4229.636421239569,0.0083615536482091,0.1541728374423732,0.0660204813866796,0.2066117436875271,0.9981431974636716,3
Oklahoma,0,0.0,199,0.0003,115,0.0002,2013,Oklahoma,40,6.0,314,0.0004733663584257704,663334.0,663020.0,949129.0,0.1100884694430816,844640.8410859574,7069.347249835618,860.2373516140766,363.95091991862006,1161.579574625095,0.0083696488566034,0.1216855419903272,0.0514829597495133,0.1643121399436284,0.9995266336415742,3
Oregon,0,0.0,1255,0.0092,754,0.0055,2013,Oregon,41,10.0,2009,0.01465449956598172,137091.0,135082.0,857785.0,0.0833782253772492,786264.4089447763,6580.757011312595,854.407578433951,362.3296909172147,1151.993754765858,0.0083696488566034,0.1298342389735996,0.0550589681847171,0.1750548991226287,0.9853455004340183,3
Pennsylvania,0,0.0,649,0.0011,766,0.0013,2013,Pennsylvania,42,3.0,1415,0.002398305084745763,590000.0,588585.0,2718058.0,0.1016625719766841,2441733.232938198,34952.44142691614,5856.421977283632,2531.462516110626,7804.42915100456,0.0143146028220523,0.1675540173503795,0.0724259139781062,0.2232870961910698,0.9976016949152542,3
Rhode Island,0,0.0,31,0.0007,135,0.003,2013,Rhode Island,44,1.0,166,0.0036888888888888887,45000.0,44834.0,214806.0,0.1173125791986499,189606.5541126548,1586.940278833492,263.7977677497986,113.13419625401454,353.15055673943885,0.0083696488566034,0.1662304317738458,0.0712907711543976,0.2225355052422189,0.9963111111111111,3
South Carolina,0,0.0,144,0.0008,144,0.0008,2013,South Carolina,45,4.0,288,0.0016,180000.0,179712.0,1077470.0,0.0924115188032248,977899.3608350892,8184.6742672866,760.7944116801101,318.6009966393202,1033.9858854346928,0.0083696488566034,0.0929535356979246,0.0389265334495643,0.126331953070807,0.9984,3
South Dakota,0,0.0,9,0.0003,36,0.001,2013,South Dakota,46,8.0,45,0.00125,36000.0,35955.0,207812.0,0.0924115188032248,188607.77745446423,1578.580868918265,146.3398548163942,61.32441268098603,198.8021999146072,0.0083696488566034,0.0927034260314295,0.0388478119103325,0.1259372920506999,0.99875,3
Tennessee,0,0.0,573,0.0023,201,0.0008,2013,Tennessee,47,4.0,774,0.003080597014925373,251250.0,250476.0,1492094.0,0.0841917775951836,1366471.9538008922,11436.890425710251,1339.7459063737545,566.8034497731979,1809.211940320273,0.0083696488566034,0.117142497348929,0.0495592270866753,0.1581908956872705,0.9969194029850746,3
Texas,0,0.0,1793,0.0014,986,0.0007,2013,Texas,48,6.0,2779,0.0019729200921216666,1408572.0,1405793.0,7053173.0,0.0902611766533518,6416545.305880349,32016.79396096368,4953.608533456835,2127.046986720134,6627.563439182327,0.0049897246001867,0.1547190683582028,0.066435352312712,0.2070027201119185,0.9980270799078783,3
Utah,0,0.0,349,0.0033,163,0.0016,2013,Utah,49,8.0,512,0.0048412413245333685,105758.0,105246.0,897462.0,0.0612347995874624,842506.0942926368,6638.2239488049,1618.7387477254138,716.9105420611627,2124.418291476712,0.0078791405709395,0.2438511807087858,0.1079973419984166,0.3200281141251911,0.9951587586754667,3
Vermont,0,0.0,69,0.0019,282,0.0078,2013,Vermont,50,1.0,351,0.009665161361383413,36316.0,35965.0,123059.0,0.1103157662460536,109483.65212152687,916.3397237957018,83.3019328468466,34.860166226141025,113.26524746089162,0.0083696488566034,0.0909072592660173,0.0380428407946146,0.1236061741290876,0.9903348386386166,3
Virginia,0,0.0,575,0.0016,645,0.0018,2013,Virginia,51,3.0,1220,0.0033947826086956523,359375.0,358155.0,1863746.0,0.0924115188032248,1691514.4014765648,14157.381576246516,1805.5610128794171,766.0089201022082,2433.9683108880645,0.0083696488566034,0.1275349543385068,0.0541066803897855,0.1719222087629407,0.9966052173913044,3
Washington,0,0.0,3494,0.0148,988,0.0042,2013,Washington,53,10.0,4482,0.018984928965359495,236082.0,231600.0,1593352.0,0.0684249794660355,1484326.9221178333,8049.90685385295,1263.2283219524022,543.886095551102,1687.4543227396796,0.0054232707996479,0.1569245886799025,0.0675642719133799,0.209624080548461,0.9810150710346405,3
West Virginia,0,0.0,28,0.0004,79,0.001,2013,West Virginia,54,3.0,107,0.0013544303797468355,79000.0,78893.0,382333.0,0.0864242314038329,349290.1643346783,2923.436024546554,286.03840662810444,119.7973118675722,388.7147743971197,0.0083696488566034,0.0978432242834768,0.0409782567026256,0.1329650353670428,0.9986455696202532,3
Wisconsin,0,0.0,207,0.0009,416,0.0019,2013,Wisconsin,55,5.0,623,0.002708695652173913,230000.0,229377.0,1308817.0,0.0772960867712038,1207650.5676003732,10107.61119229291,1348.486593386838,573.2011063689748,1815.5364594973853,0.0083696488566034,0.1334129862865188,0.0567098491883069,0.1796207259022526,0.9972913043478261,3
Wyoming,0,0.0,9,0.0004,9,0.0004,2013,Wyoming,56,8.0,18,0.0008,22500.0,22482.0,137672.0,0.0924115188032248,124949.52138332244,1045.7836187790667,113.89883435893653,47.968265062977984,154.24403449780095,0.0083696488566034,0.1089124292192598,0.0458682505650452,0.1474913468982025,0.9992,3
Alabama,0,0.0,87,0.0005,136,0.0007,2014,Alabama,1,4.0,223,0.0011477924297170151,194286.0,194063.0,1105744.0,0.0917409813186351,1004301.9603528072,9789.082596091754,1005.6214629336368,428.5162527900709,1352.5684208599257,0.0097471507400552,0.1027288770997934,0.0437749144093598,0.1381711112949371,0.998852207570283,4
Alaska,0,0.0,11,0.0004,39,0.0015,2014,Alaska,2,10.0,50,0.0018181818181818182,27500.0,27450.0,186818.0,0.0917409813186351,169679.13335201523,1653.8880902240203,46.20612156356891,20.122343849441403,61.261519365192086,0.0097471507400552,0.027937876714083,0.0121666900973425,0.0370409096765998,0.9981818181818182,4
Arizona,0,0.0,766,0.0024,966,0.003,2014,Arizona,4,9.0,1732,0.00537888198757764,322000.0,320268.0,1623723.0,0.0848572548134904,1485938.323642475,14483.664830968137,4789.559525380969,2246.431408359889,6077.642841350095,0.0097471507400552,0.3306869898798134,0.155101035171478,0.4196205112641953,0.9946211180124224,4
Arkansas,0,0.0,41,0.0003,78,0.0006,2014,Arkansas,5,6.0,119,0.0008707295835863815,136667.0,136548.0,707060.0,0.0917409813186351,642193.6217488459,6259.558035487993,586.2983091718379,246.0908693923444,795.7143966518859,0.0097471507400552,0.0936644897048438,0.0393144161292466,0.127119900820578,0.9991292704164136,4
Colorado,0,0.0,821,0.0034,722,0.003,2014,Colorado,8,8.0,1543,0.006390001283798055,241471.0,239928.0,1247350.0,0.0917409813186351,1132916.8869522004,11042.711673077176,2201.422898558539,974.6006756146252,2893.078955448194,0.0097471507400552,0.1993552819028813,0.0882573687032654,0.2619899025799706,0.9936099987162019,4
Connecticut,0,0.0,321,0.0019,505,0.003,2014,Connecticut,9,1.0,826,0.004889078296280512,168948.0,168122.0,772709.0,0.0955121995510624,698905.8637970982,4463.661211517426,887.9374839596431,386.47974540221554,1177.896648332632,0.0063866415246063,0.1989258238659622,0.0865835750269298,0.2638857638418765,0.9951109217037195,4
Delaware,0,0.0,43,0.0009,97,0.002,2014,Delaware,10,3.0,140,0.00288659793814433,48500.0,48360.0,203452.0,0.0917409813186351,184787.11386876105,1801.1478536985592,306.19739710189003,132.42010289142348,407.8337037742049,0.0097471507400552,0.1700012558508899,0.0735198404836704,0.2264298863287323,0.9971134020618557,4
District Of Columbia,0,0.0,77,0.0023,128,0.0038,2014,District Of Columbia,11,3.0,205,0.0060857948641828705,33685.0,33480.0,115718.0,0.1441283439552406,99039.75629418748,965.3554338577762,281.6205600127367,126.11265090098058,367.0042111646958,0.0097471507400552,0.2917273266773026,0.1306385673896362,0.3801752166018943,0.9939142051358171,4
