State Name,year,population,PR,at_risk,IR,AF,AC_
Alabama,2010,1130433,9.06,1028038.5436334728,10.51,10.01% (4.21-13.57%),1081 (454-1466)
Alabama,2011,1123827,8.88,1023991.7443904872,9.05,10.13% (4.26-13.74%),939 (394-1274)
Alabama,2012,1116702,8.98,1016412.7509498834,9.47,9.15% (3.83-12.44%),881 (369-1197)
Alabama,2013,1109908,9.24,1007339.7159881504,8.37,10.56% (4.47-14.27%),890 (377-1203)
Alabama,2014,1105744,9.17,1004301.9603528072,9.75,10.27% (4.38-13.82%),1006 (429-1353)
Alabama,2015,1102585,8.41,1009855.8918468504,8.17,10.22% (4.33-13.78%),843 (358-1137)
Alabama,2016,1099450,8.03,1011110.8517813984,8.95,3.50% (1.54-4.60%),316 (140-416)
Alabama,2017,1096017,7.71,1011483.5849685062,8.00,3.00% (1.30-3.97%),243 (106-321)
Alabama,2018,1091854,7.35,1011635.9475438228,8.12,2.87% (1.25-3.81%),235 (102-313)
Alabama,2019,1088306,7.32,1008644.769216052,6.19,3.12% (1.37-4.13%),195 (85-258)
Alaska,2014,186818,9.17,169679.13335201523,9.75,2.79% (1.22-3.70%),46 (20-61)
Alaska,2015,186144,8.41,170489.0009676715,8.17,2.06% (0.88-2.77%),29 (12-39)
Alaska,2016,186851,8.03,171837.8041440776,8.95,2.77% (1.20-3.67%),43 (19-57)
Alaska,2017,185410,7.71,171109.72867118916,8.00,1.97% (0.84-2.65%),27 (11-36)
Alaska,2018,182696,7.35,169273.40200472434,8.12,2.10% (0.90-2.82%),29 (12-39)
Alaska,2019,179983,7.32,166808.70223798516,6.19,1.45% (0.61-1.96%),15 (6-20)
Arizona,2010,1626330,9.38,1473837.5340999016,10.51,32.59% (15.15-41.56%),5047 (2346-6437)
Arizona,2011,1615952,8.41,1480060.0052962322,9.05,34.76% (16.34-44.07%),4656 (2188-5902)
Arizona,2012,1616731,8.49,1479539.645568131,9.47,34.27% (16.11-43.43%),4803 (2257-6087)
Arizona,2013,1618036,10.81,1443147.8417162453,8.37,31.84% (14.77-40.66%),3846 (1785-4911)
Arizona,2014,1623723,8.49,1485938.323642475,9.75,33.07% (15.51-41.96%),4790 (2246-6078)
Arizona,2015,1628633,8.49,1490431.6745213408,8.17,38.07% (18.55-47.28%),4636 (2259-5758)
Arizona,2016,1635218,8.02,1504108.324974136,8.95,34.58% (16.90-42.83%),4656 (2276-5767)
Arizona,2017,1637162,8.49,1498236.9269950364,8.00,34.49% (16.83-42.76%),4136 (2018-5128)
Arizona,2018,1637600,8.49,1498637.7595174282,8.12,32.77% (15.79-40.91%),3986 (1921-4976)
Arizona,2019,1640236,8.49,1501050.0757937396,6.19,30.11% (14.26-37.97%),2797 (1325-3528)
Arkansas,2010,711624,9.06,647165.2018072954,10.51,11.06% (4.66-14.97%),752 (317-1018)
Arkansas,2011,711633,8.88,648415.0292134249,9.05,11.83% (5.00-15.99%),694 (294-938)
Arkansas,2012,711139,8.98,647272.7256669631,9.47,10.84% (4.58-14.66%),665 (281-899)
Arkansas,2013,708960,9.24,643443.9296292657,8.37,10.84% (4.57-14.67%),584 (246-790)
Arkansas,2014,707060,9.17,642193.6217488459,9.75,9.37% (3.93-12.71%),586 (246-796)
Arkansas,2015,706417,8.41,647006.2349395072,8.17,9.10% (3.81-12.36%),481 (202-654)
Arkansas,2016,705926,8.03,649205.9112780349,8.95,2.20% (0.94-2.97%),128 (54-172)
Arkansas,2017,705370,7.71,650966.3411509449,8.00,2.06% (0.87-2.77%),107 (45-144)
Arkansas,2018,702704,7.35,651076.6337649856,8.12,1.99% (0.84-2.68%),105 (44-142)
Arkansas,2019,700155,7.32,648905.4350435125,6.19,2.22% (0.94-2.98%),89 (38-120)
California,2010,9280492,7.50,8584850.45790768,20.76,31.29% (14.39-40.17%),55767 (25643-71596)
California,2011,9244611,7.50,8551659.004342483,12.64,30.20% (13.78-38.94%),32646 (14900-42093)
California,2012,9193534,8.74,8389578.259734899,12.89,30.88% (14.16-39.71%),33384 (15308-42925)
California,2013,9157430,8.85,8346687.8557263315,4.55,28.44% (12.87-36.85%),10799 (4889-13990)
California,2014,9134153,8.82,8328851.430357661,12.76,29.66% (13.54-38.24%),31531 (14390-40654)
California,2015,9116629,7.13,8466235.048860107,12.76,30.89% (14.25-39.60%),33379 (15397-42792)
California,2016,9087159,7.68,8389630.553327464,12.76,29.92% (13.78-38.39%),32044 (14755-41112)
California,2017,9046314,6.19,8486194.505904049,12.76,29.14% (13.38-37.45%),31562 (14495-40560)
California,2018,8971748,6.15,8419594.42155243,12.76,27.69% (12.61-35.76%),29756 (13549-38430)
California,2019,8894641,7.32,8243953.495348932,12.76,27.55% (12.56-35.56%),28992 (13218-37415)
Colorado,2010,1227213,9.06,1116052.225340259,10.51,24.05% (10.73-31.44%),2820 (1259-3687)
Colorado,2011,1232558,8.88,1123063.617872191,9.05,23.72% (10.54-31.08%),2411 (1071-3159)
Colorado,2012,1236028,8.98,1125022.2706962847,9.47,21.83% (9.70-28.63%),2327 (1033-3051)
Colorado,2013,1240404,9.24,1125776.382430405,8.37,21.42% (9.50-28.12%),2018 (895-2650)
Colorado,2014,1247350,9.17,1132916.8869522004,9.75,19.94% (8.83-26.20%),2201 (975-2893)
Colorado,2015,1257335,8.41,1151591.1768936268,8.17,21.76% (9.83-28.31%),2048 (925-2664)
Colorado,2016,1262977,8.03,1161498.7041250763,8.95,8.58% (4.02-10.89%),892 (418-1132)
Colorado,2017,1263102,7.71,1165681.6811608672,8.00,8.03% (3.74-10.23%),749 (349-955)
Colorado,2018,1263756,7.35,1170908.3801718834,8.12,8.17% (3.80-10.42%),776 (361-990)
Colorado,2019,1259519,7.32,1167325.4131450462,6.19,8.57% (3.94-11.00%),619 (285-795)
Connecticut,2010,814365,11.23,722921.6700742036,8.42,18.67% (8.09-24.84%),1137 (492-1513)
Connecticut,2011,804601,11.22,714343.7614355262,7.69,20.36% (8.86-27.01%),1119 (487-1484)
Connecticut,2012,794498,12.05,698799.5568959031,3.14,18.31% (7.92-24.39%),402 (174-535)
Connecticut,2013,782470,9.79,705868.9194560503,3.66,21.05% (9.22-27.81%),544 (238-719)
Connecticut,2014,772709,9.55,698905.8637970982,6.39,19.89% (8.66-26.39%),888 (386-1178)
Connecticut,2015,761796,11.67,672895.7558368994,12.67,20.50% (8.96-27.12%),1748 (764-2313)
Connecticut,2016,751855,10.96,669439.4497137717,12.74,13.40% (5.95-17.56%),1143 (507-1497)
Connecticut,2017,743342,12.87,647668.1252214647,16.54,17.37% (7.63-22.90%),1861 (818-2454)
Connecticut,2018,735668,9.64,664756.7002620582,8.06,15.83% (6.88-21.02%),848 (369-1126)
Connecticut,2019,727440,8.76,663694.3871096919,8.06,15.53% (6.74-20.64%),831 (361-1104)
Delaware,2010,205519,9.06,186903.1189367328,10.51,19.00% (8.25-25.25%),373 (162-496)
Delaware,2011,204796,8.88,186602.93202084865,9.05,16.99% (7.31-22.70%),287 (123-383)
Delaware,2012,204169,8.98,185832.9034502372,9.47,17.11% (7.37-22.85%),301 (130-402)
Delaware,2013,203354,9.24,184561.748005289,8.37,17.26% (7.46-23.00%),267 (115-355)
Delaware,2014,203452,9.17,184787.11386876105,9.75,17.00% (7.35-22.64%),306 (132-408)
Delaware,2015,203772,8.41,186634.45883393695,8.17,17.08% (7.38-22.78%),260 (112-347)
Delaware,2016,203729,8.03,187359.6823162241,8.95,12.32% (5.35-16.37%),207 (90-275)
Delaware,2017,203861,7.71,188137.64304318695,8.00,11.38% (4.91-15.17%),171 (74-228)
Delaware,2018,203712,7.35,188745.3653565836,8.12,10.73% (4.62-14.34%),164 (71-220)
Delaware,2019,203572,7.32,188671.04744332028,6.19,10.92% (4.70-14.57%),128 (55-170)
District Of Columbia,2010,101265,17.40,83642.46612914688,10.51,31.28% (14.13-40.56%),275 (124-357)
District Of Columbia,2011,103895,12.57,90833.61846738876,9.05,29.38% (13.16-38.26%),241 (108-314)
District Of Columbia,2012,107623,13.92,92645.40047541316,9.47,30.37% (13.66-39.47%),267 (120-346)
District Of Columbia,2013,111942,13.51,96822.68031598182,8.37,22.63% (9.89-29.94%),183 (80-243)
District Of Columbia,2014,115718,14.41,99039.75629418748,9.75,29.17% (13.06-38.02%),282 (126-367)
District Of Columbia,2015,119066,8.36,109117.57091622095,8.17,33.46% (15.24-43.16%),298 (136-385)
District Of Columbia,2016,121480,12.57,106207.8826836555,8.95,32.57% (14.78-42.10%),310 (141-400)
District Of Columbia,2017,124682,11.29,110608.27660306406,8.00,27.86% (12.42-36.42%),247 (110-322)
District Of Columbia,2018,126648,10.87,112883.161650978,8.12,24.22% (10.65-31.93%),222 (98-293)
District Of Columbia,2019,128168,11.64,113253.0390275276,6.19,26.21% (11.61-34.39%),184 (81-241)
Florida,2010,3997512,7.37,3703033.305048924,9.68,11.52% (4.87-15.57%),4129 (1744-5581)
Florida,2011,3999141,7.37,3704542.3039597273,9.68,11.15% (4.70-15.08%),3997 (1686-5407)
Florida,2012,4007746,7.37,3712513.4123866553,9.68,10.91% (4.60-14.78%),3923 (1652-5312)
Florida,2013,4021965,7.37,3725684.962732093,9.68,9.34% (3.91-12.69%),3369 (1412-4576)
Florida,2014,4053007,7.37,3754440.238477438,9.68,11.25% (4.78-15.16%),4089 (1737-5510)
Florida,2015,4101879,7.37,3799712.058470562,7.58,11.95% (5.13-16.00%),3442 (1478-4607)
Florida,2016,4159352,7.81,3834329.494580792,12.35,10.30% (4.49-13.65%),4878 (2128-6465)
Florida,2017,4201903,7.31,3894832.940175435,9.68,11.32% (4.96-14.97%),4270 (1869-5644)
Florida,2018,4222005,7.43,3908511.924764597,10.54,10.11% (4.41-13.40%),4166 (1816-5522)
Florida,2019,4229929,6.65,3948430.8410463743,7.31,9.52% (4.14-12.63%),2747 (1194-3647)
Georgia,2010,2489665,8.99,2265911.8407856678,11.31,13.42% (5.73-18.03%),3439 (1467-4620)
Georgia,2011,2486136,10.08,2235549.154216861,6.76,13.37% (5.70-17.96%),2020 (862-2715)
Georgia,2012,2484033,10.78,2216316.530625313,5.37,12.63% (5.37-17.00%),1501 (638-2021)
Georgia,2013,2483113,10.71,2217220.525644741,5.37,11.84% (5.01-15.99%),1409 (596-1903)
Georgia,2014,2488137,10.15,2235685.612597167,5.32,13.73% (5.93-18.32%),1633 (705-2180)
Georgia,2015,2497665,11.09,2220613.4278562446,5.36,12.97% (5.63-17.25%),1543 (669-2053)
Georgia,2016,2508493,8.83,2287093.330652984,5.37,5.39% (2.45-6.95%),661 (301-853)
Georgia,2017,2511410,9.09,2283143.4296324,5.37,4.94% (2.23-6.42%),605 (273-786)
Georgia,2018,2506877,7.56,2317451.951459151,5.37,4.71% (2.11-6.14%),586 (262-763)
Georgia,2019,2503881,10.08,2251505.5700129312,5.37,4.75% (2.13-6.19%),574 (258-748)
Hawaii,2010,303872,11.03,270365.41759365867,17.53,4.74% (1.97-6.49%),225 (93-308)
Hawaii,2011,305893,10.87,272655.0333446574,14.05,4.10% (1.69-5.62%),157 (65-215)
Hawaii,2012,307375,11.13,273178.10044069105,9.23,3.95% (1.63-5.42%),100 (41-137)
Hawaii,2013,308747,12.77,269321.3554734375,9.37,4.36% (1.80-5.97%),110 (45-151)
Hawaii,2014,307906,16.00,258627.1219642988,11.71,4.91% (2.03-6.72%),149 (62-203)
Hawaii,2015,308172,9.91,277634.5916878338,11.71,4.85% (2.01-6.63%),158 (65-216)
Hawaii,2016,307166,10.23,275731.3835013739,11.71,5.42% (2.25-7.41%),175 (73-239)
Hawaii,2017,305161,9.78,275309.6865984696,11.71,6.07% (2.53-8.28%),196 (82-267)
Hawaii,2018,302742,10.18,271925.3280140861,11.71,5.37% (2.23-7.35%),171 (71-234)
Hawaii,2019,299868,7.43,277590.31304825225,11.71,5.66% (2.35-7.73%),184 (76-251)
Idaho,2010,429231,9.06,390351.3185853024,10.51,13.02% (5.52-17.54%),534 (226-720)
Idaho,2011,428805,8.88,390712.0757495263,9.05,14.27% (6.08-19.18%),505 (215-678)
Idaho,2012,427830,8.98,389407.26105880406,9.47,13.76% (5.86-18.49%),507 (216-682)
Idaho,2013,428752,9.24,389130.3764900797,8.37,14.38% (6.14-19.30%),468 (200-629)
Idaho,2014,431002,9.17,391461.45356970566,9.75,13.46% (5.74-18.07%),513 (219-689)
Idaho,2015,433551,8.41,397088.6886417772,8.17,14.02% (5.99-18.81%),455 (194-610)
Idaho,2016,437730,8.03,402559.0551187153,8.95,4.83% (2.09-6.44%),174 (75-232)
Idaho,2017,442490,7.71,408361.70562383096,8.00,7.17% (3.21-9.35%),234 (105-306)
Idaho,2019,448201,7.32,415393.82692680525,6.19,4.03% (1.72-5.41%),104 (44-139)
Illinois,2010,3123233,9.75,2818769.4335270408,10.51,27.93% (12.76-36.02%),8273 (3779-10668)
