State Name,ev_market_share
California,7.53
District Of Columbia,5.4099999999999895
Oregon,4.37
Washington,4.26
Hawaii,3.18
Colorado,2.84999999999999
Arizona,2.52
Maryland,2.4899999999999998
Vermont,2.34
Nevada,2.3
Massachusetts,2.25
Connecticut,1.96
Virginia,1.8900000000000001
Utah,1.8499999999999999
Delaware,1.77
New Jersey,1.6500000000000001
Maine,1.51
New York,1.50999999999999
Minnesota,1.39
North Carolina,1.3599999999999999
Illinois,1.3299999999999998
Florida,1.3
Rhode Island,1.27999999999999
Georgia,1.21
New Hampshire,1.21
New Mexico,1.01
Ohio,1.01
Pennsylvania,1.0
Kansas,0.9900000000000001
Indiana,0.9400000000000001
Idaho,0.91
Missouri,0.8500000000000001
Tennessee,0.84
Wisconsin,0.8099999999999999
Iowa,0.6799999999999999
Nebraska,0.6799999999999999
Montana,0.65
South Carolina,0.63999999999999
Alaska,0.58
Kentucky,0.54
Alabama,0.52
South Dakota,0.51
West Virginia,0.49
Texas,0.47000000000000003
Arkansas,0.44999999999999996
Wyoming,0.4
Louisiana,0.33999999999999997
Oklahoma,0.31999999999999
North Dakota,0.31
Michigan,0.31
Mississippi,0.27999999999999997
