STATE,population,PR,at_risk_den,bins
1,1088286,0.0731974562153916,7.689399586533428,2
2,179983,0.0731974562153916,0.11286468665646686,1
4,1640226,0.0848572548134904,5.1019891585390145,2
5,700155,0.0731974562153916,4.814874379825871,2
6,8894449,0.0731550047552304,20.432392174581864,4
8,1259516,0.0731974562153916,4.348687866667467,2
9,727440,0.0876300628097275,52.917747337720606,5
10,203572,0.0731974562153916,37.382811064656295,4
11,128168,0.1163703964520972,716.7913862501747,5
12,4229919,0.0665491451401728,28.429021481764497,4
13,2503664,0.1007936998551724,15.113624838014484,3
15,299867,0.0742916448295509,16.687068670868474,3
16,448201,0.0731974562153916,1.9406845613156358,1
17,2817739,0.0689783609968704,18.244114679177983,4
18,1567974,0.067057857878764,15.765112484781634,3
19,726841,0.0731974562153916,4.656409373998221,2
20,700250,0.0867623793317595,3.0199884954850225,1
21,1002871,0.1019727676087638,8.806241075745644,2
22,1087630,0.0814798112397339,8.927863884084866,3
23,248842,0.0935072633484933,2.823798124429907,1
24,1334687,0.1048547826254264,47.51963585800723,5
25,1352799,0.0731974562153916,62.06205100630008,5
26,2143933,0.0776841000575601,13.503489564047495,3
27,1303157,0.0510541542981849,5.996282931103031,2
28,698580,0.0763673930674067,5.3091907953606166,2
29,1370506,0.0694327478731345,7.163266695368356,2
30,228588,0.0669422237888586,0.565801887056394,1
31,476074,0.0620241574023857,2.2442425205746312,1
32,692639,0.0782005255091098,2.2455237757688042,1
33,255253,0.0723844282313042,10.211612435445504,3
34,1938566,0.0863402623983538,92.99048159203407,5
35,475838,0.0543824329405306,1.4322617125437078,1
36,4028289,0.0731974562153916,30.587581968257094,4
37,2300691,0.0731974562153916,16.93365844395135,3
38,180170,0.0731974562153916,0.9343689773638607,1
39,2578019,0.0770427170880008,22.483453604735086,4
40,952187,0.0999196300840526,4.82407310136866,2
41,866562,0.0687224735050786,3.246113222078501,1
42,2634613,0.0792667817498737,20.93297296698929,4
44,204484,0.0866516843397142,69.74052165029048,5
45,1110891,0.0731974562153916,13.223943957093484,3
46,217101,0.0731974562153916,1.0247504917656343,1
47,1510050,0.0897638701724814,12.870110562426678,3
48,7399719,0.0680480263003076,10.192603060468372,3
49,931184,0.0570841492945025,4.125723169672434,1
50,114005,0.0810626793675781,4.388733159008808,2
51,1860793,0.0731974562153916,16.861600972404823,3
53,1663059,0.0675245320527886,9.00982296695206,3
54,359567,0.0776011043752253,5.327168822228327,2
55,1266596,0.0410736728468131,8.65894038745058,2
56,133734,0.0731974562153916,0.49288189999002197,1
