State,FCEV Sales,FCEV Market Share,BEV Sales,BEV Market Share,PHEV Sales,PHEV Market Share,year,State Name,state_code,EPA_Region,ev_sales,ev_market_share,total,nonev_sales,population,PR,at_risk,incidence_cases,AC,AC_5,AC_95,IR,SAF,SAF_5,SAF_95,nonev_market_share,year_fixed
Alabama,0,0.0,77,0.0004,99,0.0005,2013,Alabama,1,4.0,176,0.0008888888888888889,198000.0,197824.0,1109908.0,0.0924115188032248,1007339.7159881504,8431.079702131416,2515.870960890212,1133.4564874577125,3600.865142678751,0.0083696488566034,0.2984043621665904,0.1344378807344413,0.4270941883954003,0.9991111111111111,3
Arizona,0,0.0,705,0.0023,544,0.0017,2013,Arizona,4,9.0,1249,0.003903125,320000.0,318751.0,1618036.0,0.1080866916952123,1443147.8417162453,12078.640683330035,6897.4232537790085,3556.580015326426,8830.952077327494,0.0083696488566034,0.5710430034812009,0.294452009010826,0.7311213495666992,0.996096875,3
Arkansas,0,0.0,24,0.0002,74,0.0006,2013,Arkansas,5,6.0,98,0.0007945902995118945,123334.0,123236.0,708960.0,0.0924115188032248,643443.9296292657,5385.399749909982,1852.6251898873452,849.0750596403075,2611.20392511894,0.0083696488566034,0.3440088528095453,0.1576624018773165,0.4848672422437325,0.9992054097004881,3
Colorado,0,0.0,799,0.0035,635,0.0028,2013,Colorado,8,8.0,1434,0.006281594140683178,228286.0,226852.0,1240404.0,0.0924115188032248,1125776.382430405,9422.353011999749,3710.465717465578,1740.24292885578,5127.283721119847,0.0083696488566034,0.3937939613109538,0.1846930301422065,0.5441617093511614,0.9937184058593168,3
Connecticut,0,0.0,400,0.0025,718,0.0044,2013,Connecticut,9,1.0,1118,0.006851245848194041,163182.0,162064.0,782470.0,0.0978965079095042,705868.9194560503,2584.233496471536,694.3015276311107,308.7831866187165,1005.1213529325066,0.0036610671262632,0.2686682641406425,0.1194873400721425,0.3889437058628334,0.9931487541518059,3
Delaware,0,0.0,34,0.0007,75,0.0016,2013,Delaware,10,3.0,109,0.002244091245985341,48572.0,48463.0,203354.0,0.0924115188032248,184561.748005289,1544.717023165192,462.1932348023935,207.5905086749902,663.0582164840043,0.0083696488566034,0.2992089993643881,0.1343874027164071,0.4292425127324417,0.9977559087540147,3
District Of Columbia,0,0.0,102,0.0047,133,0.0062,2013,District Of Columbia,11,3.0,235,0.01082799612956734,21703.0,21468.0,111942.0,0.1350638695397454,96822.68031598182,810.3718355999338,261.8802793864586,118.72727683173436,372.5531479485391,0.0083696488566034,0.323160637971313,0.1465096288098886,0.4597311154980243,0.9891720038704327,3
Florida,0,0.0,1817,0.0017,1487,0.0014,2013,Florida,12,4.0,3304,0.003091247951019064,1068824.0,1065520.0,4021965.0,0.0736654936748349,3725684.962732093,36069.16867507685,11605.314186158244,5278.42731528864,16470.7358920107,0.0096812180943573,0.3217516403192655,0.1463418068444682,0.4566430693311677,0.9969087520489809,3
Georgia,0,0.0,4054,0.01,455,0.0011,2013,Georgia,13,4.0,4509,0.01090086235032166,413637.0,409128.0,2483113.0,0.1070802957236576,2217220.525644741,11896.113743820128,3504.3960050087617,1572.9723387290064,5030.903886600401,0.0053653272672824,0.2945832631122284,0.1322257312432091,0.422903142567369,0.9890991376496784,3
Hawaii,0,0.0,792,0.0121,199,0.003,2013,Hawaii,15,9.0,991,0.014939548346247776,66334.0,65343.0,308747.0,0.1276956359950461,269321.3554734375,2522.361331928256,599.5462090983618,273.9617213285389,846.974262169343,0.0093656194752704,0.2376924358573282,0.1086131942559969,0.3357862537172108,0.9850604516537522,3
Idaho,0,0.0,48,0.0011,53,0.0012,2013,Idaho,16,10.0,101,0.002286775194149478,44167.0,44066.0,428752.0,0.0924115188032248,389130.3764900797,3256.884610659846,1235.781345632706,574.7932722915709,1719.3227181464772,0.0083696488566034,0.3794366375732102,0.176485611559667,0.5279040935374563,0.9977132248058506,3
Illinois,0,0.0,1482,0.0026,1052,0.0018,2013,Illinois,17,5.0,2534,0.004335737323443609,584445.0,581911.0,3024759.0,0.0735954085393756,2802150.6256618467,23453.016780101178,10657.741761034837,5172.427359859253,14327.153283115063,0.0083696488566034,0.4544294604384306,0.2205442228757463,0.6108874358232245,0.9956642626765564,3
Indiana,0,0.0,204,0.0009,344,0.0016,2013,Indiana,18,5.0,548,0.002417643503465436,226667.0,226119.0,1586023.0,0.0796443649363048,1459705.205390627,18365.89867167324,6823.463173387313,3163.9079266080184,9519.798405077789,0.0125819231197153,0.3715289567567703,0.1722707929064147,0.5183410066266297,0.9975823564965346,3
Iowa,0,0.0,81,0.0007,238,0.0019,2013,Iowa,19,7.0,319,0.0025466215353174095,125264.0,124945.0,726370.0,0.0924115188032248,659245.0450869015,5517.649537833043,2245.717843695704,1057.3650864967904,3092.2913146380406,0.0083696488566034,0.407006249363505,0.1916332451430127,0.5604363404081808,0.9974533784646826,3
Kansas,0,0.0,95,0.0009,131,0.0013,2013,Kansas,20,7.0,226,0.002141043616658456,105556.0,105330.0,724239.0,0.0926088970942034,657168.0249773912,4468.419170927732,1991.5610863133888,952.669170030314,2704.715487457851,0.0067995078900581,0.4456970150139029,0.2132004929681924,0.605295829239829,0.9978589563833415,3
