State,FCEV Sales,FCEV Market Share,BEV Sales,BEV Market Share,PHEV Sales,PHEV Market Share,year,State Name,state_code,EPA_Region,ev_sales,ev_market_share,total,nonev_sales,population,PR,at_risk,incidence_cases,AC,AC_5,AC_95,IR,SAF,SAF_5,SAF_95,nonev_market_share,year_fixed
Alabama,0,0.0,77,0.0004,99,0.0005,2013,Alabama,1,4.0,176,0.0008888888888888889,198000.0,197824.0,1109908,0.0924115188032248,1007339.7159881504,8431.079702131416,1882.3497536005104,688.4874223726539,2871.387323259085,0.0083696488566034,0.2232631904932228,0.0816606468799721,0.3405717209070132,0.9991111111111111,3
Arizona,0,0.0,705,0.0023,544,0.0017,2013,Arizona,4,9.0,1249,0.003903125,320000.0,318751.0,1618036,0.1080866916952123,1443147.8417162453,12078.640683330035,2626.468536890184,960.9653130477856,4005.965829891069,0.0083696488566034,0.2174473606549968,0.0795590611759841,0.331657008012481,0.996096875,3
Arkansas,0,0.0,24,0.0002,74,0.0006,2013,Arkansas,5,6.0,98,0.0007945902995118945,123334.0,123236.0,708960,0.0924115188032248,643443.9296292657,5385.399749909982,1258.344108303464,461.6785360288152,1913.7966839877863,0.0083696488566034,0.2336584407358984,0.0857278117630046,0.3553676185356111,0.9992054097004881,3
Colorado,0,0.0,799,0.0035,635,0.0028,2013,Colorado,8,8.0,1434,0.006281594140683178,228286.0,226852.0,1240404,0.0924115188032248,1125776.382430405,9422.353011999749,1590.8757482558574,569.4494090256272,2475.805221337222,0.0083696488566034,0.1688406013051955,0.0604360087443561,0.2627586992531678,0.9937184058593168,3
Connecticut,0,0.0,400,0.0025,718,0.0044,2013,Connecticut,9,1.0,1118,0.006851245848194041,163182.0,162064.0,782470,0.0978965079095042,705868.9194560503,2584.233496471536,517.1876567410171,187.20432783488167,796.4744856047622,0.0036610671262632,0.2001319375540853,0.0724409493532558,0.3082053098886976,0.9931487541518059,3
Delaware,0,0.0,34,0.0007,75,0.0016,2013,Delaware,10,3.0,109,0.002244091245985341,48572.0,48463.0,203354,0.0924115188032248,184561.748005289,1544.717023165192,353.80625129252525,129.60261118076596,538.902159167705,0.0083696488566034,0.2290427605747238,0.0839005521640492,0.3488678839464533,0.9977559087540147,3
District Of Columbia,0,0.0,102,0.0047,133,0.0062,2013,District Of Columbia,11,3.0,235,0.01082799612956734,21703.0,21468.0,111942,0.1350638695397454,96822.68031598182,810.3718355999338,202.0081824592905,74.55958686922982,305.53836879575783,0.0083696488566034,0.2492783850388137,0.0920066364523045,0.3770347825200044,0.9891720038704327,3
Florida,0,0.0,1817,0.0017,1487,0.0014,2013,Florida,12,4.0,3304,0.003091247951019064,1068824.0,1065520.0,4021965,0.0736654936748349,3725684.962732093,36069.16867507685,6284.101361250422,2251.660538793315,9769.700513808408,0.0096812180943573,0.1742236262182727,0.0624261833999288,0.2708601521098848,0.9969087520489809,3
Georgia,0,0.0,4054,0.01,455,0.0011,2013,Georgia,13,4.0,4509,0.01090086235032166,413637.0,409128.0,2483113,0.1070802957236576,2217220.525644741,11896.113743820128,2721.578768341184,996.984470545762,4145.300441192755,0.0053653272672824,0.2287788118834192,0.0838075771647427,0.3484583730839143,0.9890991376496784,3
Hawaii,0,0.0,792,0.0121,199,0.003,2013,Hawaii,15,9.0,991,0.014939548346247776,66334.0,65343.0,308747,0.1276956359950461,269321.3554734375,2522.361331928256,445.6975829750165,160.59357450672252,689.6331912189153,0.0093656194752704,0.1766985472435452,0.0636679497397601,0.2734077717135456,0.9850604516537522,3
Idaho,0,0.0,48,0.0011,53,0.0012,2013,Idaho,16,10.0,101,0.002286775194149478,44167.0,44066.0,428752,0.0924115188032248,389130.3764900797,3256.884610659846,732.3651259583966,268.8485644184765,1113.7082113000192,0.0083696488566034,0.2248667710121971,0.0825477708170961,0.341955071928195,0.9977132248058506,3
Illinois,0,0.0,1482,0.0026,1052,0.0018,2013,Illinois,17,5.0,2534,0.004335737323443609,584445.0,581911.0,3024759,0.0735954085393756,2802150.6256618467,23453.016780101178,6123.086674790005,2271.6458291708104,9217.990011128788,0.0083696488566034,0.2610788510578804,0.0968594296618676,0.3930406948307748,0.9956642626765564,3
Indiana,0,0.0,204,0.0009,344,0.0016,2013,Indiana,18,5.0,548,0.002417643503465436,226667.0,226119.0,1586023,0.0796443649363048,1459705.205390627,18365.89867167324,4956.944592146818,1847.5559890401653,7431.925587406658,0.0125819231197153,0.2698993760535221,0.1005970914937996,0.4046589671579391,0.9975823564965346,3
Iowa,0,0.0,81,0.0007,238,0.0019,2013,Iowa,19,7.0,319,0.0025466215353174095,125264.0,124945.0,726370,0.0924115188032248,659245.0450869015,5517.649537833043,1285.449618967212,471.40200800529726,1955.8346737426448,0.0083696488566034,0.2329705085749337,0.0854352935562543,0.354468811462564,0.9974533784646826,3
Kansas,0,0.0,95,0.0009,131,0.0013,2013,Kansas,20,7.0,226,0.002141043616658456,105556.0,105330.0,724239,0.0926088970942034,657168.0249773912,4468.419170927732,994.8114014914104,363.29578621819695,1519.4686536376694,0.0067995078900581,0.2226316205882869,0.0813029781498251,0.3400461316439562,0.9978589563833415,3
Kentucky,0,0.0,51,0.0004,132,0.001,2013,Kentucky,21,4.0,183,0.0013863636363636363,132000.0,131817.0,1017072,0.1019727676087638,913358.3533026192,7644.488697388432,1855.091222228074,684.4932365891655,2807.343205700911,0.0083696488566034,0.2426704120658618,0.0895407480716149,0.3672375376341359,0.9986136363636363,3
Louisiana,0,0.0,73,0.0004,67,0.0003,2013,Louisiana,22,6.0,140,0.000626863800406566,223334.0,223194.0,1112430,0.078099283131033,1025550.014466545,8583.493505969518,1828.9033888970755,665.6991258213465,2802.13144079978,0.0083696488566034,0.2130721468624793,0.0775557324483761,0.3264558234768857,0.9993731361995934,3
Maine,0,0.0,48,0.0009,197,0.0037,2013,Maine,23,1.0,245,0.004593692578842764,53334.0,53089.0,262010,0.0767175178911223,241909.24313734705,1459.561574869311,246.75071029948373,88.50707912485417,383.3331073434301,0.0060335089140873,0.1690581024795598,0.0606394965781276,0.2626357900506895,0.9954063074211572,3
Maryland,0,0.0,573,0.0019,962,0.0032,2013,Maryland,24,3.0,1535,0.005089876947665454,301579.0,300044.0,1344085,0.1073467172133628,1199801.8875942773,25705.136252826684,5683.550825961366,2074.7969947040665,8684.218905962289,0.0214244839240652,0.2211056486944849,0.0807152692869274,0.3378398317187415,0.9949101230523345,3
Massachusetts,0,0.0,592,0.0019,1233,0.0039,2013,Massachusetts,25,1.0,1825,0.0057725032737210346,316154.0,314329.0,1398069,0.0924115188032248,1268871.3203182942,10620.00739527886,2014.1740414467752,726.052697882916,3113.822117913775,0.0083696488566034,0.1896584405715366,0.0683664964494924,0.2932033850840847,0.994227496726279,3
Michigan,0,0.0,368,0.0008,2244,0.0046,2013,Michigan,26,5.0,2612,0.005354357179901892,487827.0,485215.0,2249312,0.1092295344695415,2003620.6973632467,20401.57628097193,4516.096571703097,1653.950628302072,6882.355890415244,0.0101823545283896,0.221360178718894,0.081069747039334,0.3373443206363547,0.9946456428200982,3
Minnesota,0,0.0,274,0.0012,551,0.0024,2013,Minnesota,27,5.0,825,0.0035934559899644574,229584.0,228759.0,1278697,0.0527314975420946,1211269.3922874162,6982.309962949738,1505.3818616839555,548.5346756352908,2304.139482976471,0.0057644566992351,0.2155994033023411,0.0785606308723019,0.3299967339179922,0.9964065440100356,3
Missouri,0,0.0,291,0.0012,325,0.0013,2013,Missouri,29,7.0,616,0.002464,250000.0,249384.0,1397707,0.0766062050170915,1290633.9710041762,10802.153139708607,2627.7494932817644,968.4417224020908,3980.326296527962,0.0083696488566034,0.2432616404614913,0.0896526562692495,0.3684752701659377,0.997536,3
Montana,0,0.0,30,0.0006,66,0.0014,2013,Montana,30,8.0,96,0.0019199616007679846,50001.0,49905.0,224371,0.0819933716161874,205974.0652171044,4661.732712767047,820.8005455559962,294.60481934318074,1274.1358584036534,0.0226326198293625,0.1760719878486548,0.0631964201929358,0.2733180851219094,0.998080038399232,3
Nebraska,0,0.0,57,0.0007,107,0.0014,2013,Nebraska,31,7.0,164,0.002014024487590416,81429.0,81265.0,464550,0.0655503605520373,434098.5800055511,3735.998837748729,783.8917595968841,285.06730224710185,1202.0691706573548,0.008606337384704,0.2098212000700858,0.0763028348314155,0.3217530901004531,0.9979859755124095,3
Nevada,0,0.0,235,0.002,199,0.0017,2013,Nevada,32,9.0,434,0.0036936170212765957,117500.0,117066.0,656208,0.0785160404324406,604685.146139909,5061.002341994948,1158.54460216298,424.3874767182498,1764.6174639800406,0.0083696488566034,0.2289160375504399,0.0838544319959679,0.3486695608373227,0.9963063829787234,3
